td_code,en_date_doc,fo_code,en_etat_facture,en_type_confie,en_num_doc,en_num_doc_ref,en_code,en_num_ext,en_frais_taxe,en_frais_non_taxe,en_acompte,en_escompte,de_code,en_valeur_devise,en_num_livraison,en_transf_bij_psion,fo_ref_cli,fo_edi_type,fo_raison_soc,num_com,num_br,facture,etat_lib,en_date2,en_edi,td_color_w,num_fac,en_qte_doc,en_mt_doc,ed_etat,ed_code,en_date_paye,active,en_mt_suppl
CF,26/05/2025 00:00:00,101007,-1,A,011619,,171173,CDE RIVIERE PK,,,,,$,"1,1373",,1,,RIEN,GLAMORO,011619,,I,I,11/07/2025 00:00:00,0,16764671,CDE RIVIERE PK,50,"15971,13",,,07/07/2025 00:00:00,A,
CF,15/05/2025 00:00:00,102004,-1,A,011618,,170780,SAV 59884,,,,,E,,,1,PEDRO ROMERO,RIEN,PEDRO ROMERO,011618,,I,I,06/06/2025 00:00:00,0,16764671,SAV 59884,1,"22,96",,,26/05/2025 00:00:00,A,
CF,15/05/2025 00:00:00,102044,0,A,011616,,170772,STK ALRT OR 5/25,,,0,,E,,,1,RICHLINE,RIEN,RICHLINE ITALY SRL,011616,,,,08/07/2025 00:00:00,0,16764671,STK ALRT OR 5/25,1077,"40608,32",,,03/07/2025 00:00:00,A,
CF,15/05/2025 00:00:00,102015,0,A,011615,,170771,STK ALRT OR 5/25,,,0,,E,,,1,OROLO,RIEN,OROLO SRL,011615,,,,24/06/2025 00:00:00,0,16764671,STK ALRT OR 5/25,300,"23867,8",,,19/06/2025 00:00:00,A,
CF,15/05/2025 00:00:00,102013,0,A,011614,,170770,STK ALRT OR 5/25,,,0,,E,,,1,,RIEN,DIBI S.p.A. Gold & Silver Ital,011614,,,,20/06/2025 00:00:00,0,16764671,STK ALRT OR 5/25,350,"20191,15",,,15/06/2025 00:00:00,A,
CF,15/05/2025 00:00:00,102009,0,A,011613,,170769,STK ALRT OR 5/25,,,0,,$,,,1,MIDAS,RIEN,Midas Hediyelik Esya,011613,,,,15/07/2025 00:00:00,0,16764671,STK ALRT OR 5/25,480,"17325,12",,,10/07/2025 00:00:00,A,
CF,15/05/2025 00:00:00,102006,0,A,011612,,170768,STK ALRT OR 5/25,,,0,,E,,,1,,RIEN,RICCARDO ORSATO S.R.L,011612,,,,08/07/2025 00:00:00,0,16764671,STK ALRT OR 5/25,150,"9262,05",,,03/07/2025 00:00:00,A,
CF,15/05/2025 00:00:00,102003,0,A,011611,,170767,STK ALRT OR 5/25,,,0,,E,,,1,,RIEN,SILO S.p.A,011611,,,,08/07/2025 00:00:00,0,16764671,STK ALRT OR 5/25,100,"32002,25",,,03/07/2025 00:00:00,A,
CF,15/05/2025 00:00:00,102002,0,A,011610,,170766,STK ALRT OR 5/25,,,0,,E,,,1,ARPAS,RIEN,ARPAS IHRACAT ITHALAT VE PAZAR,011610,,,,15/07/2025 00:00:00,0,16764671,STK ALRT OR 5/25,251,"13954,61",,,10/07/2025 00:00:00,A,
CF,15/05/2025 00:00:00,102001,0,A,011609,,170765,STK ALRT OR 5/25,,,0,,$,,,1,INAH,RIEN,INAHVINA CO LTD,011609,,,,08/07/2025 00:00:00,0,16764671,STK ALRT OR 5/25,1405,"58157,42",,,03/07/2025 00:00:00,A,
